step,reward_mean,reward_std,kl,loss,n_scored,eval_reward,elapsed_s
421,3.6159,7.0182,0.07342,-0.0429,64,,7420
422,1.1561,6.3480,0.02624,-0.0275,64,,7437
423,5.0081,6.3722,0.03537,-0.0133,64,,7454
424,2.8817,8.0153,0.03595,-0.0411,64,,7471
425,5.0346,7.2153,0.03767,0.0135,64,-0.5774,7504
426,6.5436,9.4972,0.03033,-0.0101,64,,7521
427,7.0720,5.4063,0.03339,-0.0120,64,,7539
428,1.8079,5.0291,0.03993,-0.0440,64,,7556
429,6.7950,3.0420,0.01863,-0.0196,64,,7573
430,6.5452,7.7255,0.03266,-0.0058,64,,7590
431,3.0821,7.4681,0.04418,-0.0470,64,,7606
432,4.3332,6.6401,0.02696,-0.0235,64,,7622
433,6.1171,6.2577,0.04818,-0.0329,64,,7639
434,1.8209,3.4029,0.03669,-0.0254,64,,7657
435,8.6214,4.5896,0.03289,-0.0278,64,,7674
436,5.0772,6.2073,0.03902,-0.0541,64,,7690
437,9.1736,4.3329,0.02947,-0.0145,64,,7706
438,1.6918,5.9026,0.05740,-0.0319,63,,7723
439,7.0455,5.4788,0.02666,-0.0224,64,,7739
440,6.8048,9.9793,0.02971,-0.0304,64,,7755
441,6.5345,4.5512,0.04336,-0.0545,64,,7770
442,8.8461,4.2262,0.03471,-0.0250,64,,7787
443,5.1883,7.1906,0.04003,-0.0116,64,,7803
444,2.5479,7.7912,0.04970,-0.0171,64,,7820
445,8.5458,7.3344,0.05720,-0.0184,64,,7837
446,5.7250,5.1894,0.03713,-0.0077,64,,7856
447,8.3699,4.5099,0.03545,-0.0483,64,,7872
448,7.8804,4.7493,0.03671,-0.0388,64,,7891
449,4.5464,8.8503,0.03539,-0.0474,64,,7908
450,5.4490,6.3059,0.03625,-0.0338,64,-0.8672,7937
451,7.7581,5.9732,0.03057,-0.0251,64,,7955
452,8.2873,6.6584,0.02979,-0.0279,64,,7972
453,7.7739,5.8949,0.03935,-0.0244,64,,7989
454,3.9052,5.4846,0.03515,-0.0660,64,,8005
455,5.3889,6.5857,0.04392,-0.0387,64,,8021
456,6.5762,5.4559,0.02972,-0.0221,64,,8037
457,8.0690,5.7359,0.04445,-0.0147,64,,8054
458,5.8347,4.8760,0.04108,-0.0275,64,,8072
459,6.6585,9.7842,0.03962,-0.0069,64,,8088
460,3.8831,7.2755,0.02528,-0.0122,64,,8106
461,3.6036,6.1910,0.03064,-0.0246,64,,8124
462,4.0483,3.0203,0.03396,-0.0171,64,,8142
463,6.4723,5.4276,0.03906,-0.0119,64,,8160
464,7.8804,6.5266,0.03745,-0.0333,64,,8177
465,4.2568,4.6540,0.03723,-0.0410,64,,8194
466,2.6787,4.2870,0.03644,0.0104,64,,8212
467,3.5067,6.1322,0.02978,-0.0060,64,,8229
468,2.1679,5.6237,0.04176,-0.0251,64,,8245
469,6.9302,5.7658,0.02165,-0.0054,64,,8261
